university,course_name,students
"Glasgow School of Art","Forensic Science With Crimonology",1
"Graduate University of Chinese Academy of Sciences","French And History",0
"Griffith University",Maths,0
"Hankuk University of Foreign Studies",Auditing/Tax,2
"Hebrew University","Banking - Retail",0
"Hobart and William Smith",Neuroscience,0
"Hofstra University","Law (M100)",1
"Humboldt University","Business And Management (Accounting)",1
"Hunan University","Comparative Literature",1
"Imperial College London","Product Design",0
"Indian Institute of Management, Indore",Physics,1
"Institut Superieur des Affaires (ISA)","LLM In International Business Law",0
"Jacksonville University","Law (3 Years)",1
"Jiangxi University of Finance and Economics",Computing,0
"Jonkoping University College","European Law",0
"Kasetsart University","Creative Writing",1
"Koc University","Law (3yr LLB)",0
"LUISS (Libera Universita Internazionale degli Studi Sociali)","Social Work",1
"La Trobe University","International Business, Finance & Economics",0
"Le Moyne College",Administration/Secretarial,3
"Lebanese American University","Software Engineering",0
"Lebanese American University",Anthropology,0
"Leuphana University","Politics, Philosophy And Law LLB",0
"Liverpool John Moores University",Arts/Entertainment/Media,0
"Lodz University","Environment, Society And Development",0
"Mahidol University","Law With Politics LLB",0
"Malaysia University of Science and Technology","Bachelor Of Computer Science Engineering",0
"Management Development Institute",LLB,0
"Middlebury College",Engineering,0
"Miriam College","Business And HR Management",0
"Molloy College","Ll.b Law With Criminology",0
"Molloy College",Economics,0
"Morehouse College","Forensic Science",1
"Moscow State Technical University","Social. Science",0
"Moscow State Technical University",Legal/Law,0
"Moscow University of People's Friendship",Agriculture,0
"Nanyang Academy of Fine Arts",Business,0
"National Sun Yat-sen University","Sport Exercise Science",0
"National Tsing-Hua University",HR,0
"New York University","Banking - Commercial",0
"New York University",Retail/Merchandising,0
"Newcastle University","International Politics",0
"Nottingham Trent University","German And History",2
"Obafemi Awololo University","LLB LAW",0
"Ochanomizu Univ","BA, Hons Accounting And Finance",0
"PACE University","Business And Management",0
"Padjadjaran University","BEng Mechanical Engineering",0
"Parahyangan University","Open Degree",1
"Polytechnic di Torino","BA Management And Leadership With European Study",0
"Providence College","European Law (Maitrise)",1
"Queen Mary, University of London",Business/Management,1
"RCN Institute","Arts & Humanities",0
"Regensburg University",Advertising,0
"Richmond School of Business",Sciences,0
"Royal Academy of Music",Mathematics,0
"Royal Veterinary College",Science/Research,1
"SKEMA Business School","LLM Laws",0
"SUNY Fredonia",MBA,0
"Sabhal Mor Ostaig",Education/Teaching,0
"Sacred Heart University",PPS,0
"Saint Mary's College of Meycauayan","Law And European Law (Qualifying Year Abroad In English)",0
"Sauder School of Business","English Literature",0
"Scarborough Campus, University of Hull",Marketing,1
"Schiller University","Sport/Sports Management",1
"Scuola Normale Superiore (Pisa)",PPE,2
"Scuola Superiore S.Anna (Pisa)","Business Analysis And Consulting",2
"Shanghai Maritime University","Historical Archaeology",2
"Sheffield, University of","Industrial Design",0
"Singapore Polytechnic",Architecture,1
"Southampton, University of","Business Management",1
"St Andrews, University of","LLM In International Finance And Banking Law",1
"St. John's University",Actuarial,0
"St. Xavier's College","Business Intelligence/Market Research",2
"Stirling, University of","English Law And German Law",0
"Swiss School of International Banking","Global Crime, Justice, Security",0
"The Grimsby Institute of Further & Higher Education","Law LLB",1
"The State University of New Jersey","MSc Digital Anthropology",0
"Trinity College Carmarthen","Philosophy, Politics And Economics",1
"Turku University","History And Politics",0
"UAM University","LLM In International Commercial Law",0
"UAM University","LLM Tax Law",1
"UHI Millennium Institute","Health And Social Care",1
"UHI Millennium Institute",Biology,0
"US Military Acedemy",Pharmaceutical,0
"Universidad Adolfo Ibanez (Creo que es Chilena tambien)",LPC,0
"Universidad Francisco Gavidia","Electronic And Electrical Engineering",0
"Universidad Internacional","Economic And Social History",2
"Universidad Panamericana","Law With Criminology",0
"Universidad Ramon Llull","BSc Economics",1
"Universita Cattolica del Sacro Cuore","Economics And Politics",4
"Universita Cattolica di Milano","Food And Drink",1
"Universita degli Studi di Firenze","Civil Engineering",1
"Universita degli Studi di Padova","Chemical Engineering",0
"Universita degli Studi di Roma/La Sapienza",Chemistry,1
"Universita degli Studi di Venezia","Human Resource Management And Organisational Analysis",0
"University College Birmingham","BA Economics",0
"University of Bonn",BA,1
"University of Calgary","Physical Earth & Biological Sciences",0
"University of Central Florida","Law And French",0
"University of Connecticut",Chinese,1
"University of Groningen",Design,1
"University of Koln",LL.M,0
"University of KwaZulu Natal","Biological Sciences",0
"University of Limerick","Financial Management",0
"University of Maine",BPTC,0
"University of Michigan",Psychology,0
"University of Nairobi","Computer Science",0
"University of Newcastle","Modern Languages",1
"University of Nurtingen",English,0
"University of Pennsylvania","Accountancy Banking & Finance",0
"University of Phoenix","Law LLB (Hons)",1
"University of San Jose - Recoletos","Wildlife Conservation With Zoo Biology",1
"University of Science and Technology Beijing","Health Science",0
"University of South Australia",Accountancy,0
"University of Southern Maine","English Language",0
"University of Southern Maine",Sociology,1
"University of St. La Salle - Bacolod",Medicine,0
"University of Szeged",Music,0
"University of Tsukuba","Politics And English",0
"University of Washington","Information Technology",0
"University of Waterloo","Accounting And Financial Management",0
"University of Western Ontario","Aeronautical Engineering",0
"University of Witten/Herdecke","Banking - Investment",1
"University of the Philippines - Diliman","MSc International Politics",1
"University of the Philippines - Los Banos",Geography,0
"University of the Philippines - Pampanga","Human Resources",0
"University of the Witwatersrand","Charity/Non Profit",1
"Villanova University","Process Design Engineering",1
"Warburg Institute",E-Business,1
"Wilmington College",Other,1
"Winchester, University of",Banking/Finance,1
"Winthrop University","Accountancy & Business Law",0
"XLRI, Jamshedpur","Mathematical & Computer Sciences",0
"XLRI, Jamshedpur","MSc Social Cognition",0
"Xi'an Jiaotong university","European Studies (Politics, History, French, Italian)",0
"Xidian University","Anthropology And Law",0
